ticket,cost,month,location_from,location_to,duration,distance,assistance,energy_used,energy_collected
single,0.25,6,KYS,PUIJONLAAKSO,275.0,890,1,13.8,1.5
single,0.3,8,KAUPPAKATU,TASAVALLANKATU,334.0,1610,1,9.3,2.1
savonia,0.0,10,KEILANKANTA,PIRTTI,1161.0,6100,1,22.1,3.0
single,1.45,5,SATAMA,MICROTEKNIA,1702.0,5380,1,47.7,6.6
single,0.15,4,NEULAMÄKI,NEULAMÄKI,129.0,0,1,0.0,0.0
season,0.0,7,TORI,TORI,211.0,570,1,4.2,0.3
savonia,0.0,10,TORI,KEILANKANTA,1247.0,6490,1,42.3,5.4
season,0.0,10,KYS,NEULAMÄKI,618.0,2900,1,34.0,3.3
single,0.2,7,KEILANKANTA,KEILANKANTA,185.0,100,0,0.0,0.0
single,0.3,9,KAUPPAKATU,TASAVALLANKATU,334.0,1610,1,10.0,4.8
savonia,0.0,10,MICROTEKNIA,TORI,704.0,3040,1,25.6,8.7
savonia,0.0,10,MICROTEKNIA,PUIJONLAAKSO,745.0,3630,1,36.2,8.4
season,0.0,8,SATAMA,TORI,596.0,2190,1,27.0,6.9
season,0.0,6,SATAMA,TORI,686.0,3540,1,25.7,1.5
single,1.15,5,TASAVALLANKATU,SATAMA,1340.0,2730,1,15.9,3.3
single,0.4,6,SATAMA,TORI,470.0,900,1,14.4,0.9
single,1.45,5,KAUPPAKATU,SATAMA,1722.0,6270,0,0.0,8.4
season,0.0,5,TASAVALLANKATU,KEILANKANTA,1676.0,4560,1,34.4,9.9
single,0.25,5,SATAMA,TORI,256.0,930,1,10.4,0.3
season,0.0,7,KAUPPAKATU,KAUPPAKATU,19.0,0,1,0.0,0.0
single,0.55,8,TORI,PUIJONLAAKSO,657.0,2530,1,23.7,4.5
single,0.6,6,SATAMA,PUIJONLAAKSO,714.0,3250,1,33.4,2.7
savonia,0.0,9,KYS,SATAMA,777.0,2860,1,15.7,8.4
season,0.0,10,KEILANKANTA,TASAVALLANKATU,848.0,4450,1,30.5,1.2
season,0.0,7,MICROTEKNIA,NEULAMÄKI,541.0,2390,1,26.5,2.1
season,0.0,8,MICROTEKNIA,MICROTEKNIA,41.0,-20,1,0.0,0.0
savonia,0.0,10,PUIJONLAAKSO,PUIJONLAAKSO,1600.0,6540,1,50.1,14.7
single,0.1,8,KEILANKANTA,KEILANKANTA,73.0,-30,1,0.0,0.0
season,0.0,6,NEULAMÄKI,MICROTEKNIA,247.0,1400,1,5.9,2.7
savonia,0.0,10,TORI,TORI,897.0,2440,1,20.7,9.6
season,0.0,7,KEILANKANTA,KAUPPAKATU,1172.0,6060,1,39.7,2.7
season,0.0,7,TASAVALLANKATU,KAUPPAKATU,464.0,1610,1,9.8,3.0
savonia,0.0,10,PUIJONLAAKSO,MICROTEKNIA,517.0,2280,0,0.0,14.1
single,0.5,8,KYS,TORI,556.0,1950,1,12.7,3.9
season,0.0,6,KEILANKANTA,KEILANKANTA,24.0,0,1,0.0,0.0
single,0.7,4,MICROTEKNIA,TORI,828.0,3100,1,25.7,8.1
savonia,0.0,9,NEULAMÄKI,MICROTEKNIA,291.0,1480,1,5.1,3.3
season,0.0,7,TASAVALLANKATU,TASAVALLANKATU,58.0,0,1,0.0,0.0
single,0.35,8,KYS,TORI,382.0,1830,1,8.4,4.5
single,0.3,5,SATAMA,TORI,340.0,920,1,11.7,0.9
single,0.05,7,KAUPPAKATU,KAUPPAKATU,29.0,0,1,0.0,0.0
single,0.25,9,KAUPPAKATU,SATAMA,242.0,990,1,3.1,4.8
savonia,0.0,10,PUIJONLAAKSO,MICROTEKNIA,549.0,2420,1,16.3,15.6
single,1.0,7,TORI,KEILANKANTA,1175.0,6470,1,30.7,6.9
season,0.0,5,KAUPPAKATU,TASAVALLANKATU,374.0,1570,1,6.6,1.5
single,0.5,6,TORI,PUIJONLAAKSO,569.0,2420,1,22.9,3.9
single,0.55,10,MICROTEKNIA,KAUPPAKATU,640.0,2900,1,16.0,10.8
single,0.35,6,MICROTEKNIA,KYS,384.0,1460,1,13.6,7.5
single,0.05,8,TORI,TORI,3.0,0,0,0.0,0.0
savonia,0.0,10,TORI,KAUPPAKATU,222.0,0,1,0.0,0.0
savonia,0.0,10,MICROTEKNIA,PUIJONLAAKSO,549.0,2220,1,26.7,7.2
season,0.0,6,TASAVALLANKATU,TASAVALLANKATU,103.0,0,1,0.0,0.0
single,0.75,6,PIRTTI,KEILANKANTA,876.0,4040,1,32.9,5.7
single,0.55,6,SATAMA,KAUPPAKATU,632.0,1290,1,15.1,2.7
season,0.0,6,KAUPPAKATU,NEULAMÄKI,1322.0,5660,1,55.9,11.4
season,0.0,9,KEILANKANTA,TORI,1308.0,6640,1,49.6,8.1
savonia,0.0,9,TORI,KAUPPAKATU,128.0,380,0,0.0,0.6
season,0.0,4,SATAMA,KAUPPAKATU,334.0,1020,1,12.7,0.3
single,0.6,6,NEULAMÄKI,TASAVALLANKATU,675.0,3660,1,13.6,3.6
single,0.4,8,KYS,TORI,472.0,2070,1,14.8,10.8
single,0.65,9,SATAMA,KAUPPAKATU,740.0,1020,1,8.4,0.6
single,0.05,5,TORI,TORI,48.0,-10,1,0.0,0.0
single,0.5,10,TORI,PUIJONLAAKSO,542.0,2560,1,25.5,3.9
single,0.05,7,TASAVALLANKATU,TASAVALLANKATU,30.0,0,0,0.0,0.0
season,0.0,7,KEILANKANTA,TORI,1406.0,6610,1,50.5,3.3
savonia,100.0,9,NEULAMÄKI,MICROTEKNIA,25614.0,2310,0,0.0,3.6
single,0.05,7,PUIJONLAAKSO,PUIJONLAAKSO,25.0,0,1,0.0,0.0
single,0.1,4,TORI,TORI,68.0,0,1,0.0,0.0
single,0.8,8,TORI,TORI,905.0,1740,1,17.0,9.3
single,0.5,9,NEULAMÄKI,KYS,590.0,2950,1,19.2,16.8
single,0.55,9,MICROTEKNIA,TORI,659.0,3000,1,16.4,5.1
season,0.0,5,TORI,TORI,8.0,0,0,0.0,0.0
single,0.05,8,PIRTTI,PIRTTI,25.0,0,0,0.0,0.0
single,0.35,5,SATAMA,TORI,407.0,950,1,10.1,0.9
season,0.0,6,MICROTEKNIA,NEULAMÄKI,402.0,1420,1,25.1,1.5
single,1.0,8,KEILANKANTA,MICROTEKNIA,1198.0,6870,1,44.7,3.0
season,0.0,9,TORI,PUIJONLAAKSO,751.0,2650,1,29.0,4.5
season,0.0,8,PUIJONLAAKSO,TORI,533.0,2360,1,11.4,18.3
season,0.0,5,KAUPPAKATU,KYS,451.0,1800,1,23.8,3.6
season,0.0,5,TORI,PUIJONLAAKSO,736.0,2370,1,35.3,6.3
single,0.45,9,TORI,TORI,513.0,1500,1,7.7,6.9
season,0.0,7,KAUPPAKATU,SATAMA,239.0,1030,0,0.0,2.4
single,0.2,9,KAUPPAKATU,SATAMA,227.0,1010,1,4.9,5.4
single,0.95,5,PUIJONLAAKSO,TORI,1087.0,4460,1,19.1,15.3
savonia,0.0,10,TORI,TORI,1409.0,4270,1,40.3,16.5
savonia,0.0,9,MICROTEKNIA,TORI,823.0,3070,1,24.8,11.7
season,0.0,4,TORI,TORI,145.0,0,0,0.0,0.0
season,0.0,5,SATAMA,KAUPPAKATU,453.0,1040,1,13.3,0.6
savonia,0.0,10,MICROTEKNIA,MICROTEKNIA,497.0,2150,1,23.5,10.5
single,1.05,7,KEILANKANTA,TORI,1220.0,6500,1,34.9,5.4
savonia,0.0,10,KAUPPAKATU,KAUPPAKATU,48.0,-20,1,0.0,0.0
season,0.0,9,KAUPPAKATU,PUIJONLAAKSO,504.0,2250,1,20.0,2.4
savonia,0.0,10,TORI,MICROTEKNIA,734.0,3030,1,22.3,3.6
single,1.3,6,TASAVALLANKATU,PIRTTI,1515.0,8470,1,38.7,4.2
single,0.25,7,SATAMA,TORI,273.0,920,1,8.4,2.7
single,0.1,7,TASAVALLANKATU,TASAVALLANKATU,102.0,10,1,0.4,0.0
season,0.0,6,TORI,PUIJONLAAKSO,1203.0,2710,1,43.7,2.7
single,0.05,9,KAUPPAKATU,KAUPPAKATU,3.0,0,0,0.0,0.0
single,0.05,7,TASAVALLANKATU,TASAVALLANKATU,17.0,0,1,0.0,0.0
savonia,0.0,10,PUIJONLAAKSO,MICROTEKNIA,405.0,2130,1,13.2,14.1
single,0.35,6,TORI,KYS,415.0,1840,1,15.3,3.9
season,0.0,6,SATAMA,TORI,272.0,940,1,14.3,0.3
single,0.9,8,KEILANKANTA,TASAVALLANKATU,1047.0,5460,1,40.3,5.7
season,0.0,4,KEILANKANTA,TASAVALLANKATU,888.0,4510,1,35.6,0.0
season,0.0,7,KYS,TORI,400.0,1840,1,13.3,6.0
single,0.55,5,MICROTEKNIA,KAUPPAKATU,646.0,3120,1,22.0,4.2
season,0.0,7,KEILANKANTA,PIRTTI,1013.0,5620,1,41.9,0.6
single,0.5,9,TORI,PUIJONLAAKSO,582.0,2660,1,30.5,4.8
single,0.45,5,KAUPPAKATU,PUIJONLAAKSO,494.0,2240,1,14.7,2.7
single,0.35,9,KAUPPAKATU,KAUPPAKATU,406.0,1400,1,9.9,7.8
single,0.65,9,TORI,MICROTEKNIA,737.0,3060,1,24.6,8.7
season,0.0,8,KEILANKANTA,KAUPPAKATU,1156.0,6070,1,19.6,4.8
savonia,0.0,9,MICROTEKNIA,NEULAMÄKI,321.0,1420,1,18.0,3.6
single,0.25,9,TORI,TORI,254.0,0,1,0.0,0.0
season,0.0,8,NEULAMÄKI,KAUPPAKATU,1288.0,4420,1,37.1,24.9
single,1.0,5,PUIJONLAAKSO,TASAVALLANKATU,1194.0,5350,1,27.9,14.4
savonia,0.0,9,NEULAMÄKI,MICROTEKNIA,250.0,1400,1,5.2,1.8
single,0.6,5,MICROTEKNIA,KYS,677.0,1830,1,20.1,5.1
single,0.15,5,NEULAMÄKI,NEULAMÄKI,174.0,0,0,0.0,0.0
single,0.85,10,MICROTEKNIA,TORI,982.0,3030,1,25.8,5.1
single,1.45,5,KAUPPAKATU,KEILANKANTA,1721.0,6170,1,27.6,7.2
single,0.05,9,KEILANKANTA,KEILANKANTA,41.0,0,1,0.0,0.0
season,0.0,9,SATAMA,SATAMA,13.0,0,1,0.0,0.0
savonia,0.0,9,NEULAMÄKI,MICROTEKNIA,295.0,1470,1,4.9,2.1
single,0.2,7,SATAMA,SATAMA,214.0,950,1,10.0,2.7
savonia,0.0,9,TORI,SATAMA,308.0,980,1,4.7,7.8
single,1.05,7,KEILANKANTA,TORI,1205.0,6460,1,28.2,8.7
single,0.4,7,SATAMA,KAUPPAKATU,429.0,1010,1,10.8,0.3
season,0.0,8,NEULAMÄKI,NEULAMÄKI,784.0,3530,1,24.7,31.8
season,0.0,9,MICROTEKNIA,KEILANKANTA,1636.0,7950,1,61.0,16.8
season,0.0,7,TORI,TORI,1028.0,210,1,12.3,3.3
savonia,0.0,9,KAUPPAKATU,KAUPPAKATU,28.0,10,0,0.0,0.0
single,1.05,9,SATAMA,KEILANKANTA,1247.0,7190,1,43.0,10.8
single,0.65,6,TORI,MICROTEKNIA,737.0,3090,1,25.0,10.5
single,0.6,6,TORI,PUIJONLAAKSO,702.0,3060,1,25.9,4.5
single,0.5,8,TORI,PUIJONLAAKSO,590.0,2610,1,27.1,2.1
season,0.0,9,NEULAMÄKI,MICROTEKNIA,318.0,1380,1,7.9,16.5
savonia,0.0,9,PUIJONLAAKSO,MICROTEKNIA,520.0,2570,1,16.8,16.5
single,1.2,6,SATAMA,KEILANKANTA,1439.0,7410,1,53.9,6.3
single,0.8,6,KEILANKANTA,TASAVALLANKATU,902.0,4400,1,18.6,0.9
single,0.5,9,MICROTEKNIA,PUIJONLAAKSO,596.0,2510,1,28.7,6.0
season,0.0,7,MICROTEKNIA,NEULAMÄKI,415.0,1460,1,26.6,2.4
single,0.1,7,KEILANKANTA,KEILANKANTA,87.0,50,1,0.7,0.0
single,0.6,7,PUIJONLAAKSO,TORI,686.0,2610,1,7.2,7.5
single,0.1,8,NEULAMÄKI,NEULAMÄKI,89.0,260,1,2.8,1.2
single,0.2,5,NEULAMÄKI,MICROTEKNIA,231.0,1400,1,5.8,3.0
single,0.1,5,SATAMA,SATAMA,80.0,0,1,0.0,0.0
single,0.8,7,TORI,NEULAMÄKI,904.0,4470,1,40.3,5.4
single,0.35,5,TASAVALLANKATU,KAUPPAKATU,396.0,1630,1,19.0,0.0
season,0.0,7,MICROTEKNIA,MICROTEKNIA,41.0,0,1,0.0,0.0
single,0.55,7,TORI,PUIJONLAAKSO,603.0,2580,1,21.2,6.0
single,0.6,6,MICROTEKNIA,TORI,660.0,3030,1,17.9,12.6
season,0.0,6,MICROTEKNIA,NEULAMÄKI,357.0,1440,1,21.8,3.3
single,0.3,8,TORI,SATAMA,347.0,940,1,5.7,6.6
season,0.0,5,TORI,TORI,66.0,0,1,0.0,0.0
single,0.25,6,SATAMA,TORI,241.0,940,1,12.1,2.1
single,0.15,5,PUIJONLAAKSO,PUIJONLAAKSO,154.0,20,0,0.0,0.0
savonia,0.0,9,TORI,TORI,124.0,0,1,0.0,0.0
single,0.1,7,NEULAMÄKI,NEULAMÄKI,101.0,10,1,0.0,0.0
season,0.0,6,NEULAMÄKI,MICROTEKNIA,413.0,1380,1,7.4,15.9
savonia,0.0,10,MICROTEKNIA,PUIJONLAAKSO,474.0,2180,1,22.3,8.1
season,0.0,8,TORI,NEULAMÄKI,1070.0,4600,1,48.2,10.5
season,0.0,7,KAUPPAKATU,KAUPPAKATU,74.0,160,1,3.4,0.0
savonia,0.0,9,NEULAMÄKI,NEULAMÄKI,129.0,0,1,0.0,0.0
single,0.55,7,TORI,MICROTEKNIA,614.0,3180,1,22.7,12.0
single,1.0,5,TORI,KEILANKANTA,1184.0,6460,1,26.2,4.5
season,0.0,8,SATAMA,NEULAMÄKI,1441.0,5460,1,70.6,6.6
savonia,0.0,10,KAUPPAKATU,TORI,915.0,2100,1,21.3,5.7
season,0.0,7,NEULAMÄKI,MICROTEKNIA,300.0,1400,0,0.0,2.4
season,0.0,9,KYS,KYS,1047.0,600,1,8.1,2.7
single,2.45,5,KEILANKANTA,KEILANKANTA,2905.0,2340,1,24.2,14.4
single,0.3,4,NEULAMÄKI,MICROTEKNIA,326.0,1430,0,0.0,0.6
season,0.0,7,TORI,KYS,503.0,2180,1,17.4,5.7
single,0.1,7,TORI,TORI,78.0,0,1,0.0,0.0
single,0.4,8,KYS,KAUPPAKATU,450.0,4330,1,40.2,9.6
savonia,0.0,9,KAUPPAKATU,MICROTEKNIA,721.0,3240,1,20.6,10.5
single,0.95,4,NEULAMÄKI,TASAVALLANKATU,1096.0,5130,1,33.4,0.6
season,0.0,5,SATAMA,TORI,685.0,940,1,16.0,0.6
season,0.0,6,TASAVALLANKATU,NEULAMÄKI,970.0,4540,1,39.8,8.1
single,1.75,6,PIRTTI,KYS,2054.0,10740,1,66.9,7.5
savonia,0.0,10,NEULAMÄKI,MICROTEKNIA,277.0,1420,1,5.1,2.4
single,0.3,5,NEULAMÄKI,MICROTEKNIA,335.0,1380,0,0.0,0.0
single,0.7,8,NEULAMÄKI,TORI,816.0,4530,1,23.5,9.0
season,0.0,6,NEULAMÄKI,NEULAMÄKI,107.0,0,1,0.0,0.0
season,0.0,5,KYS,NEULAMÄKI,703.0,2860,1,29.8,11.4
single,0.9,10,PIRTTI,KEILANKANTA,1070.0,5790,1,45.6,3.3
savonia,0.0,10,TORI,PUIJONLAAKSO,643.0,2600,1,28.9,2.4
season,0.0,7,TASAVALLANKATU,TASAVALLANKATU,19.0,0,1,0.0,0.0
single,0.4,7,KAUPPAKATU,SATAMA,447.0,1010,1,4.6,6.0
savonia,0.0,9,TORI,PUIJONLAAKSO,684.0,2820,1,25.6,3.6
single,0.45,5,PUIJONLAAKSO,MICROTEKNIA,532.0,2490,1,15.0,19.8
season,0.0,4,KAUPPAKATU,PUIJONLAAKSO,622.0,2230,1,34.2,2.4
single,0.05,7,SATAMA,SATAMA,4.0,0,0,0.0,0.0
savonia,0.0,10,TORI,KAUPPAKATU,111.0,390,0,0.0,0.6
single,0.55,8,PUIJONLAAKSO,TORI,629.0,2350,1,13.7,17.7
savonia,0.0,9,SATAMA,SATAMA,1051.0,4500,1,41.9,18.9
single,0.1,7,TASAVALLANKATU,TASAVALLANKATU,61.0,1300,0,9.0,11.1
season,0.0,4,MICROTEKNIA,MICROTEKNIA,720.0,2980,1,26.9,14.1
single,0.35,6,TORI,KYS,403.0,1820,1,11.7,4.2
single,0.4,6,TASAVALLANKATU,KAUPPAKATU,423.0,1630,1,11.4,4.8
single,0.75,5,TASAVALLANKATU,TORI,861.0,2060,1,20.4,6.6
savonia,0.0,10,TORI,TORI,1012.0,150,1,2.4,0.0
single,0.35,5,TORI,TASAVALLANKATU,416.0,1990,1,12.9,2.7
single,0.35,7,KYS,KAUPPAKATU,375.0,1820,1,9.9,3.6
single,0.25,7,TORI,SATAMA,259.0,930,1,4.1,9.9
single,0.55,5,KAUPPAKATU,PUIJONLAAKSO,639.0,2410,1,24.5,3.9
single,0.05,7,KEILANKANTA,KEILANKANTA,32.0,0,1,0.0,0.0
savonia,0.0,10,TORI,KAUPPAKATU,207.0,-180,1,3.3,0.0
season,0.0,6,TORI,TASAVALLANKATU,511.0,2030,1,17.0,5.7
single,0.45,7,MICROTEKNIA,PUIJONLAAKSO,518.0,2090,1,19.3,5.1
savonia,0.0,10,PUIJONLAAKSO,TORI,441.0,2320,1,11.8,12.6
single,0.55,6,TORI,PUIJONLAAKSO,620.0,2490,1,26.8,5.4
savonia,0.0,9,TORI,TASAVALLANKATU,542.0,2040,1,14.9,7.8
single,0.95,5,KEILANKANTA,TORI,1125.0,6500,1,33.6,1.5
single,0.35,9,KAUPPAKATU,TASAVALLANKATU,391.0,1650,1,13.2,0.9
savonia,0.0,10,TORI,KAUPPAKATU,786.0,1590,1,12.0,2.1
season,1.0,6,KEILANKANTA,SATAMA,2021.0,7040,1,37.1,13.8
savonia,0.0,9,TORI,TORI,174.0,710,1,4.8,0.6
single,0.3,6,TASAVALLANKATU,KAUPPAKATU,350.0,1620,1,10.3,3.6
single,0.1,7,PUIJONLAAKSO,PUIJONLAAKSO,66.0,30,1,0.0,0.0
single,0.1,7,KAUPPAKATU,KAUPPAKATU,72.0,0,1,0.0,0.0
savonia,0.0,10,TORI,SATAMA,255.0,940,0,0.0,5.1
single,0.5,7,KAUPPAKATU,TASAVALLANKATU,578.0,1640,1,12.1,2.4
single,0.45,5,PUIJONLAAKSO,KAUPPAKATU,503.0,2250,1,6.7,11.1
single,0.8,7,MICROTEKNIA,TORI,914.0,3120,1,24.5,17.4
single,0.5,5,MICROTEKNIA,TORI,575.0,3100,1,20.8,8.7
season,0.0,7,KAUPPAKATU,NEULAMÄKI,1188.0,4700,1,60.6,5.7
season,0.0,8,TASAVALLANKATU,NEULAMÄKI,899.0,4590,1,42.4,8.7
single,1.0,5,NEULAMÄKI,TORI,1191.0,6530,1,23.9,19.2
season,0.0,6,NEULAMÄKI,KYS,508.0,2880,1,19.5,9.9
single,0.6,5,TASAVALLANKATU,SATAMA,693.0,2570,1,14.9,0.3
single,0.45,6,TASAVALLANKATU,TORI,486.0,2040,0,0.0,5.4
season,0.0,6,PUIJONLAAKSO,KAUPPAKATU,570.0,2260,1,11.6,15.6
single,0.85,6,TASAVALLANKATU,KEILANKANTA,1006.0,3440,1,22.6,2.7
season,0.0,6,TASAVALLANKATU,TASAVALLANKATU,33.0,0,1,0.0,0.0
single,0.05,7,SATAMA,SATAMA,53.0,0,1,0.0,0.0
single,0.45,9,PUIJONLAAKSO,TORI,532.0,2580,1,13.1,13.2
season,0.0,8,MICROTEKNIA,MICROTEKNIA,250.0,0,1,0.0,0.0
single,0.1,10,KAUPPAKATU,TORI,102.0,390,1,1.8,0.6
savonia,0.0,10,PUIJONLAAKSO,KYS,229.0,910,0,0.0,8.7
single,1.1,7,KEILANKANTA,KAUPPAKATU,1283.0,6090,1,54.9,2.7
single,0.3,8,SATAMA,TORI,341.0,1140,1,12.7,2.7
savonia,0.0,10,MICROTEKNIA,NEULAMÄKI,457.0,1420,1,18.8,4.2
season,0.0,6,TORI,TORI,89.0,70,1,2.4,0.0
season,0.0,6,SATAMA,KAUPPAKATU,323.0,980,1,11.4,0.3
single,0.25,7,KAUPPAKATU,SATAMA,272.0,1010,1,3.1,7.8
single,0.7,6,KEILANKANTA,TASAVALLANKATU,816.0,4400,1,20.8,0.0
single,0.05,4,KEILANKANTA,KEILANKANTA,41.0,0,1,0.0,0.0
single,0.7,7,TORI,MICROTEKNIA,813.0,3980,1,27.2,4.8
single,0.15,4,KAUPPAKATU,KAUPPAKATU,178.0,-50,1,0.2,0.0
season,0.0,5,KAUPPAKATU,TORI,150.0,380,0,0.0,0.0
single,0.2,6,SATAMA,TORI,235.0,940,1,8.6,0.0
single,0.65,6,MICROTEKNIA,MICROTEKNIA,766.0,3650,1,25.8,4.2
single,0.5,8,SATAMA,SATAMA,542.0,2000,1,18.5,0.9
season,0.0,7,TORI,SATAMA,249.0,920,1,3.9,6.0
single,0.15,7,PUIJONLAAKSO,PUIJONLAAKSO,129.0,450,1,2.2,5.4
season,0.0,6,KYS,KYS,62.0,0,1,0.0,0.0
single,0.8,6,SATAMA,SATAMA,916.0,3620,1,26.0,5.4
single,0.05,7,SATAMA,SATAMA,59.0,0,1,0.0,0.0
single,1.1,6,SATAMA,SATAMA,1305.0,5290,1,35.5,6.9
season,0.0,8,KAUPPAKATU,KAUPPAKATU,79.0,-60,1,0.0,0.0
season,0.0,7,TORI,KAUPPAKATU,111.0,410,0,0.0,1.2
season,0.0,7,MICROTEKNIA,KAUPPAKATU,706.0,3130,1,21.2,18.3
season,0.0,6,MICROTEKNIA,NEULAMÄKI,388.0,1400,1,20.0,2.7
season,0.0,9,PUIJONLAAKSO,SATAMA,744.0,3430,1,14.7,22.5
single,0.75,9,MICROTEKNIA,MICROTEKNIA,844.0,0,1,0.0,0.0
season,0.0,8,TORI,KAUPPAKATU,751.0,440,1,4.8,0.3
single,0.9,8,TORI,NEULAMÄKI,1065.0,4630,1,40.4,17.7
savonia,0.0,10,TORI,TORI,1379.0,670,1,10.4,1.2
single,0.15,6,TORI,TORI,152.0,0,1,0.0,0.0
single,1.1,5,KEILANKANTA,TORI,1268.0,6480,1,42.8,5.1
season,0.0,5,TORI,SATAMA,238.0,930,1,4.1,5.1
savonia,0.0,9,PUIJONLAAKSO,KAUPPAKATU,1060.0,3770,1,24.8,4.8
savonia,0.0,10,MICROTEKNIA,TORI,857.0,3060,1,21.8,18.9
savonia,0.0,10,MICROTEKNIA,MICROTEKNIA,72.0,0,1,0.0,0.0
season,0.0,10,KAUPPAKATU,NEULAMÄKI,1089.0,4370,1,48.1,18.6
savonia,0.0,10,MICROTEKNIA,TORI,598.0,3100,1,18.8,10.2
single,0.75,5,PUIJONLAAKSO,NEULAMÄKI,845.0,3740,1,32.1,10.8
season,0.0,5,KYS,KYS,96.0,0,1,0.0,0.0
season,0.0,6,NEULAMÄKI,MICROTEKNIA,493.0,2230,1,15.1,16.2
single,0.05,6,KAUPPAKATU,KAUPPAKATU,4.0,0,1,0.0,0.0
season,0.0,7,KYS,KYS,71.0,0,1,0.0,0.0
season,0.0,7,KAUPPAKATU,PUIJONLAAKSO,641.0,2540,1,36.2,2.4
single,0.45,8,KYS,PUIJONLAAKSO,480.0,-880,1,0.0,0.0
savonia,0.0,10,TORI,PUIJONLAAKSO,580.0,2630,1,29.4,3.6
single,0.05,6,TASAVALLANKATU,TASAVALLANKATU,38.0,0,1,0.0,0.0
savonia,0.0,9,TORI,TORI,112.0,130,1,0.0,0.0
savonia,0.0,10,KYS,KYS,70.0,-10,1,0.0,0.0
season,0.0,6,KAUPPAKATU,KAUPPAKATU,395.0,1810,1,12.9,6.9
season,0.0,5,MICROTEKNIA,NEULAMÄKI,339.0,1430,1,20.2,2.1
single,0.35,6,PUIJONLAAKSO,TORI,365.0,2310,1,3.3,13.8
season,0.0,7,KAUPPAKATU,TASAVALLANKATU,384.0,1630,0,0.0,1.5
single,0.2,5,TORI,SATAMA,217.0,920,1,3.5,6.0
season,0.0,4,TASAVALLANKATU,KEILANKANTA,823.0,4550,1,21.9,5.7
season,0.0,9,SATAMA,KAUPPAKATU,280.0,1030,1,13.5,1.8
season,0.0,5,TASAVALLANKATU,TORI,644.0,2100,1,19.5,7.2
savonia,0.0,10,KAUPPAKATU,KAUPPAKATU,15.0,0,1,0.0,0.0
single,1.6,9,TORI,TORI,1893.0,4750,0,0.0,3.3
single,0.75,7,MICROTEKNIA,SATAMA,887.0,4080,1,24.8,16.5
single,0.6,6,KYS,KAUPPAKATU,704.0,2290,1,18.3,12.9
single,0.7,6,SATAMA,SATAMA,799.0,2730,1,23.8,0.9
season,0.0,9,KEILANKANTA,KAUPPAKATU,1092.0,6050,1,29.2,2.1
